BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS
702,Whispering Pines/Clinton,-120.24079334800001,50.986696924,GCS_North_American_1983_CSRS
622,Campbell River,-125.24791935299999,50.031657403,GCS_North_American_1983_CSRS
689,Skwlax te Secwepemculecw,-119.59965332500002,50.870243534999986,GCS_North_American_1983_CSRS
154,Iskatewizaagegan #39 Independent First Nation,-95.09931025399999,49.62564713199998,GCS_North_American_1983_CSRS
294,Gambler First Nation,-101.382375992,50.59467312200002,GCS_North_American_1983_CSRS
367,Keeseekoose,-101.90919396599998,51.71897987800003,GCS_North_American_1983_CSRS
304,York Factory First Nation,-96.09898778299998,56.08745209800003,GCS_North_American_1983_CSRS
56,Waswanipi,-75.95910099999998,49.702264000000014,GCS_North_American_1983_CSRS
531,Gitanmaax,-127.67695947599998,55.25523537999999,GCS_North_American_1983_CSRS
440,Enoch Cree Nation #440,-113.75554184100002,53.50195499900002,GCS_North_American_1983_CSRS
218,Dokis,-80.03238071599998,46.12954920599998,GCS_North_American_1983_CSRS
550,Musqueam,-123.19920000000002,49.224940000000004,GCS_North_American_1983_CSRS
619,Ts'il Kaz Koh,-125.77111295499998,54.236657095,GCS_North_American_1983_CSRS
606,Lower Kootenay,-116.516265401,49.066742627999986,GCS_North_American_1983_CSRS
86,Innue Essipit,-69.39863023499998,48.34323576000003,GCS_North_American_1983_CSRS
220,Nipissing First Nation,-79.87386116099998,46.32341589499998,GCS_North_American_1983_CSRS
555,Squamish,-123.13217004299997,49.323715377999974,GCS_North_American_1983_CSRS
658,Pacheedaht First Nation,-124.407701127,48.576773608999986,GCS_North_American_1983_CSRS
